root	cluster	season	habitat	substrate_type	field_replicate	over_median
C33RW1	C33RW1	33	spring	rocks	water	1	TRUE
C33RW3	C33RW3	33	spring	rocks	water	3	TRUE
C33SB3	C33SB3	33	spring	sand	sediment	3	TRUE
C33SW1	C33SW1	33	spring	sand	water	1	TRUE
C33SW3	C33SW3	33	spring	sand	water	3	TRUE
C3RB2	C3RB2	3	spring	rocks	sediment	2	TRUE
C3RW2	C3RW2	3	spring	rocks	water	2	TRUE
C3RW3	C3RW3	3	spring	rocks	water	3	TRUE
C3SB1	C3SB1	3	spring	sand	sediment	1	TRUE
C3SB2	C3SB2	3	spring	sand	sediment	2	TRUE
C3SW1	C3SW1	3	spring	sand	water	1	TRUE
C3SW2	C3SW2	3	spring	sand	water	2	TRUE
C3SW3	C3SW3	3	spring	sand	water	3	TRUE
C4RW2	C4RW2	4	spring	rocks	water	2	TRUE
C4SB2	C4SB2	4	spring	sand	sediment	2	TRUE
C4SW1	C4SW1	4	spring	sand	water	1	TRUE
C5RB2	C5RB2	5	spring	rocks	sediment	2	TRUE
C5RW3	C5RW3	5	spring	rocks	water	3	TRUE
C5SB3	C5SB3	5	spring	sand	sediment	3	TRUE
C5SW1	C5SW1	5	spring	sand	water	1	TRUE
C5SW3	C5SW3	5	spring	sand	water	3	TRUE
C6RB1	C6RB1	6	spring	rocks	sediment	1	TRUE
C6RB3	C6RB3	6	spring	rocks	sediment	3	TRUE
C6RW1	C6RW1	6	spring	rocks	water	1	TRUE
C6RW2	C6RW2	6	spring	rocks	water	2	TRUE
C6SB2	C6SB2	6	spring	sand	sediment	2	TRUE
C6SW3	C6SW3	6	spring	sand	water	3	TRUE
C7RB2	C7RB2	7	spring	rocks	sediment	2	TRUE
C7RB3	C7RB3	7	spring	rocks	sediment	3	TRUE
C7RW1	C7RW1	7	spring	rocks	water	1	TRUE
C8EB1	C8EB1	8	spring	eelgrass	sediment	1	TRUE
C8EB2	C8EB2	8	spring	eelgrass	sediment	2	TRUE
C8RB2	C8RB2	8	spring	rocks	sediment	2	TRUE
C8RW3	C8RW3	8	spring	rocks	water	3	TRUE
C9EB2	C9EB2	9	spring	eelgrass	sediment	2	TRUE
C9EB3	C9EB3	9	spring	eelgrass	sediment	3	TRUE
C9EW2	C9EW2	9	spring	eelgrass	water	2	TRUE
C9RB2	C9RB2	9	spring	rocks	sediment	2	TRUE
C9RB3	C9RB3	9	spring	rocks	sediment	3	TRUE
C9RW3	C9RW3	9	spring	rocks	water	3	TRUE
C9SB2	C9SB2	9	spring	sand	sediment	2	TRUE
C9SW1	C9SW1	9	spring	sand	water	1	TRUE
C9SW3	C9SW3	9	spring	sand	water	3	TRUE
2C10EB1	2C10EB1	10	autumn	eelgrass	sediment	1	FALSE
2C10EB2	2C10EB2	10	autumn	eelgrass	sediment	2	FALSE
2C10EW2	2C10EW2	10	autumn	eelgrass	water	2	FALSE
2C10EW3	2C10EW3	10	autumn	eelgrass	water	3	FALSE
2C10RB1	2C10RB1	10	autumn	rocks	sediment	1	FALSE
2C10RB2	2C10RB2	10	autumn	rocks	sediment	2	FALSE
2C10RW1	2C10RW1	10	autumn	rocks	water	1	FALSE
2C10RW2	2C10RW2	10	autumn	rocks	water	2	FALSE
2C10RW3	2C10RW3	10	autumn	rocks	water	3	FALSE
2C11RB1	2C11RB1	11	autumn	rocks	sediment	1	FALSE
2C11RB2	2C11RB2	11	autumn	rocks	sediment	2	FALSE
2C11RW2	2C11RW2	11	autumn	rocks	water	2	FALSE
2C11RW3	2C11RW3	11	autumn	rocks	water	3	FALSE
2C11SB2	2C11SB2	11	autumn	sand	sediment	2	FALSE
2C11SW1	2C11SW1	11	autumn	sand	water	1	FALSE
2C11SW2	2C11SW2	11	autumn	sand	water	2	FALSE
2C12RB1	2C12RB1	12	autumn	rocks	sediment	1	FALSE
2C12RB2	2C12RB2	12	autumn	rocks	sediment	2	FALSE
2C12RW2	2C12RW2	12	autumn	rocks	water	2	FALSE
2C12SB1	2C12SB1	12	autumn	sand	sediment	1	FALSE
2C12SB2	2C12SB2	12	autumn	sand	sediment	2	FALSE
2C12SB3	2C12SB3	12	autumn	sand	sediment	3	FALSE
2C12SW2	2C12SW2	12	autumn	sand	water	2	FALSE
2C12SW3	2C12SW3	12	autumn	sand	water	3	FALSE
2C13RB1	2C13RB1	13	autumn	rocks	sediment	1	FALSE
2C13RW2	2C13RW2	13	autumn	rocks	water	2	FALSE
2C13RW3	2C13RW3	13	autumn	rocks	water	3	FALSE
2C13SB1	2C13SB1	13	autumn	sand	sediment	1	FALSE
2C13SB2	2C13SB2	13	autumn	sand	sediment	2	FALSE
2C13SW2	2C13SW2	13	autumn	sand	water	2	FALSE
2C13SW3	2C13SW3	13	autumn	sand	water	3	FALSE
2C14RB1	2C14RB1	14	autumn	rocks	sediment	1	FALSE
2C14RB2	2C14RB2	14	autumn	rocks	sediment	2	FALSE
2C14RB3	2C14RB3	14	autumn	rocks	sediment	3	FALSE
2C14RW2	2C14RW2	14	autumn	rocks	water	2	FALSE
2C14SB2	2C14SB2	14	autumn	sand	sediment	2	FALSE
2C14SW2	2C14SW2	14	autumn	sand	water	2	FALSE
2C15RB1	2C15RB1	15	autumn	rocks	sediment	1	FALSE
2C15RB2	2C15RB2	15	autumn	rocks	sediment	2	FALSE
2C15RW2	2C15RW2	15	autumn	rocks	water	2	FALSE
2C15RW3	2C15RW3	15	autumn	rocks	water	3	FALSE
2C15SB1	2C15SB1	15	autumn	sand	sediment	1	FALSE
2C15SB2	2C15SB2	15	autumn	sand	sediment	2	FALSE
2C15SW3	2C15SW3	15	autumn	sand	water	3	FALSE
2C16EB2	2C16EB2	16	autumn	eelgrass	sediment	2	FALSE
2C16EW3	2C16EW3	16	autumn	eelgrass	water	3	FALSE
2C16RB1	2C16RB1	16	autumn	rocks	sediment	1	FALSE
2C16RB2	2C16RB2	16	autumn	rocks	sediment	2	FALSE
2C16RW3	2C16RW3	16	autumn	rocks	water	3	FALSE
2C16SB2	2C16SB2	16	autumn	sand	sediment	2	FALSE
2C16SW3	2C16SW3	16	autumn	sand	water	3	FALSE
2C17EB1	2C17EB1	17	autumn	eelgrass	sediment	1	FALSE
2C17EB2	2C17EB2	17	autumn	eelgrass	sediment	2	FALSE
2C17EW1	2C17EW1	17	autumn	eelgrass	water	1	FALSE
2C17EW3	2C17EW3	17	autumn	eelgrass	water	3	FALSE
2C17RB1	2C17RB1	17	autumn	rocks	sediment	1	FALSE
2C17RB2	2C17RB2	17	autumn	rocks	sediment	2	FALSE
2C17RB3	2C17RB3	17	autumn	rocks	sediment	3	FALSE
2C17RW3	2C17RW3	17	autumn	rocks	water	3	FALSE
2C17SB2	2C17SB2	17	autumn	sand	sediment	2	FALSE
2C17SW3	2C17SW3	17	autumn	sand	water	3	FALSE
2C18RB1	2C18RB1	18	autumn	rocks	sediment	1	FALSE
2C18RW1	2C18RW1	18	autumn	rocks	water	1	FALSE
2C18RW3	2C18RW3	18	autumn	rocks	water	3	FALSE
2C18SB1	2C18SB1	18	autumn	sand	sediment	1	FALSE
2C18SB3	2C18SB3	18	autumn	sand	sediment	3	FALSE
2C18SW3	2C18SW3	18	autumn	sand	water	3	FALSE
2C19EB3	2C19EB3	19	autumn	eelgrass	sediment	3	FALSE
2C19EW3	2C19EW3	19	autumn	eelgrass	water	3	FALSE
2C19RB1	2C19RB1	19	autumn	rocks	sediment	1	FALSE
2C19RB3	2C19RB3	19	autumn	rocks	sediment	3	FALSE
2C19RW3	2C19RW3	19	autumn	rocks	water	3	FALSE
2C19SB1	2C19SB1	19	autumn	sand	sediment	1	FALSE
2C1RB1	2C1RB1	1	autumn	rocks	sediment	1	FALSE
2C1RB3	2C1RB3	1	autumn	rocks	sediment	3	FALSE
2C1RW2	2C1RW2	1	autumn	rocks	water	2	FALSE
2C1SB1	2C1SB1	1	autumn	sand	sediment	1	FALSE
2C1SB3	2C1SB3	1	autumn	sand	sediment	3	FALSE
2C1SW1	2C1SW1	1	autumn	sand	water	1	FALSE
2C1SW3	2C1SW3	1	autumn	sand	water	3	FALSE
2C20EB1	2C20EB1	20	autumn	eelgrass	sediment	1	FALSE
2C20EW3	2C20EW3	20	autumn	eelgrass	water	3	FALSE
2C20RW3	2C20RW3	20	autumn	rocks	water	3	FALSE
2C20SW2	2C20SW2	20	autumn	sand	water	2	FALSE
2C21EB2	2C21EB2	21	autumn	eelgrass	sediment	2	FALSE
2C21EB3	2C21EB3	21	autumn	eelgrass	sediment	3	FALSE
2C21EW2	2C21EW2	21	autumn	eelgrass	water	2	FALSE
2C21RB3	2C21RB3	21	autumn	rocks	sediment	3	FALSE
2C21RW1	2C21RW1	21	autumn	rocks	water	1	FALSE
2C21RW3	2C21RW3	21	autumn	rocks	water	3	FALSE
2C21SB3	2C21SB3	21	autumn	sand	sediment	3	FALSE
2C21SW1	2C21SW1	21	autumn	sand	water	1	FALSE
2C21SW3	2C21SW3	21	autumn	sand	water	3	FALSE
2C23RB1	2C23RB1	23	autumn	rocks	sediment	1	FALSE
2C23RB3	2C23RB3	23	autumn	rocks	sediment	3	FALSE
2C23RW1	2C23RW1	23	autumn	rocks	water	1	FALSE
2C23RW3	2C23RW3	23	autumn	rocks	water	3	FALSE
2C23SB1	2C23SB1	23	autumn	sand	sediment	1	FALSE
2C23SB2	2C23SB2	23	autumn	sand	sediment	2	FALSE
2C23SB3	2C23SB3	23	autumn	sand	sediment	3	FALSE
2C24EB1	2C24EB1	24	autumn	eelgrass	sediment	1	FALSE
2C24EB3	2C24EB3	24	autumn	eelgrass	sediment	3	FALSE
2C24EW3	2C24EW3	24	autumn	eelgrass	water	3	FALSE
2C24RB3	2C24RB3	24	autumn	rocks	sediment	3	FALSE
2C24RW3	2C24RW3	24	autumn	rocks	water	3	FALSE
2C24SB1	2C24SB1	24	autumn	sand	sediment	1	FALSE
2C24SB3	2C24SB3	24	autumn	sand	sediment	3	FALSE
2C24SW1	2C24SW1	24	autumn	sand	water	1	FALSE
2C24SW3	2C24SW3	24	autumn	sand	water	3	FALSE
2C25EB1	2C25EB1	25	autumn	eelgrass	sediment	1	FALSE
2C25EB3	2C25EB3	25	autumn	eelgrass	sediment	3	FALSE
2C25EW1	2C25EW1	25	autumn	eelgrass	water	1	FALSE
2C25RB1	2C25RB1	25	autumn	rocks	sediment	1	FALSE
2C25RB2	2C25RB2	25	autumn	rocks	sediment	2	FALSE
2C25RW1	2C25RW1	25	autumn	rocks	water	1	FALSE
2C25RW3	2C25RW3	25	autumn	rocks	water	3	FALSE
2C25SB1	2C25SB1	25	autumn	sand	sediment	1	FALSE
2C25SW2	2C25SW2	25	autumn	sand	water	2	FALSE
2C26EB1	2C26EB1	26	autumn	eelgrass	sediment	1	FALSE
2C26EW2	2C26EW2	26	autumn	eelgrass	water	2	FALSE
2C26RB1	2C26RB1	26	autumn	rocks	sediment	1	FALSE
2C26RW1	2C26RW1	26	autumn	rocks	water	1	FALSE
2C26RW3	2C26RW3	26	autumn	rocks	water	3	FALSE
2C26SB1	2C26SB1	26	autumn	sand	sediment	1	FALSE
2C26SW1	2C26SW1	26	autumn	sand	water	1	FALSE
2C26SW2	2C26SW2	26	autumn	sand	water	2	FALSE
2C26SW3	2C26SW3	26	autumn	sand	water	3	FALSE
2C27EB1	2C27EB1	27	autumn	eelgrass	sediment	1	FALSE
2C27EW1	2C27EW1	27	autumn	eelgrass	water	1	FALSE
2C27EW2	2C27EW2	27	autumn	eelgrass	water	2	FALSE
2C27EW3	2C27EW3	27	autumn	eelgrass	water	3	FALSE
2C27RB1	2C27RB1	27	autumn	rocks	sediment	1	FALSE
2C27RW1	2C27RW1	27	autumn	rocks	water	1	FALSE
2C27RW2	2C27RW2	27	autumn	rocks	water	2	FALSE
2C27SB1	2C27SB1	27	autumn	sand	sediment	1	FALSE
2C27SW2	2C27SW2	27	autumn	sand	water	2	FALSE
2C28EB1	2C28EB1	28	autumn	eelgrass	sediment	1	FALSE
2C28EW2	2C28EW2	28	autumn	eelgrass	water	2	FALSE
2C28RB1	2C28RB1	28	autumn	rocks	sediment	1	FALSE
2C28RW1	2C28RW1	28	autumn	rocks	water	1	FALSE
2C28RW2	2C28RW2	28	autumn	rocks	water	2	FALSE
2C28SB1	2C28SB1	28	autumn	sand	sediment	1	FALSE
2C28SW2	2C28SW2	28	autumn	sand	water	2	FALSE
2C29EB1	2C29EB1	29	autumn	eelgrass	sediment	1	FALSE
2C29EB2	2C29EB2	29	autumn	eelgrass	sediment	2	FALSE
2C29EW2	2C29EW2	29	autumn	eelgrass	water	2	FALSE
2C29RB1	2C29RB1	29	autumn	rocks	sediment	1	FALSE
2C29RW2	2C29RW2	29	autumn	rocks	water	2	FALSE
2C29SB1	2C29SB1	29	autumn	sand	sediment	1	FALSE
2C29SW2	2C29SW2	29	autumn	sand	water	2	FALSE
2C30EB1	2C30EB1	30	autumn	eelgrass	sediment	1	FALSE
2C30EW2	2C30EW2	30	autumn	eelgrass	water	2	FALSE
2C30EW3	2C30EW3	30	autumn	eelgrass	water	3	FALSE
2C30RB1	2C30RB1	30	autumn	rocks	sediment	1	FALSE
2C30RB2	2C30RB2	30	autumn	rocks	sediment	2	FALSE
2C30RW2	2C30RW2	30	autumn	rocks	water	2	FALSE
2C30SB2	2C30SB2	30	autumn	sand	sediment	2	FALSE
2C30SW2	2C30SW2	30	autumn	sand	water	2	FALSE
2C31EB1	2C31EB1	31	autumn	eelgrass	sediment	1	FALSE
2C31EB2	2C31EB2	31	autumn	eelgrass	sediment	2	FALSE
2C31EB3	2C31EB3	31	autumn	eelgrass	sediment	3	FALSE
2C31EW2	2C31EW2	31	autumn	eelgrass	water	2	FALSE
2C31RB1	2C31RB1	31	autumn	rocks	sediment	1	FALSE
2C31RB2	2C31RB2	31	autumn	rocks	sediment	2	FALSE
2C31RW3	2C31RW3	31	autumn	rocks	water	3	FALSE
2C31SB1	2C31SB1	31	autumn	sand	sediment	1	FALSE
2C31SW2	2C31SW2	31	autumn	sand	water	2	FALSE
2C32RB1	2C32RB1	32	autumn	rocks	sediment	1	FALSE
2C32RB2	2C32RB2	32	autumn	rocks	sediment	2	FALSE
2C32RW2	2C32RW2	32	autumn	rocks	water	2	FALSE
2C32SB2	2C32SB2	32	autumn	sand	sediment	2	FALSE
2C32SW1	2C32SW1	32	autumn	sand	water	1	FALSE
2C32SW2	2C32SW2	32	autumn	sand	water	2	FALSE
2C33RB1	2C33RB1	33	autumn	rocks	sediment	1	FALSE
2C33RB2	2C33RB2	33	autumn	rocks	sediment	2	FALSE
2C33RW1	2C33RW1	33	autumn	rocks	water	1	FALSE
2C33SB1	2C33SB1	33	autumn	sand	sediment	1	FALSE
2C33SB2	2C33SB2	33	autumn	sand	sediment	2	FALSE
2C33SW2	2C33SW2	33	autumn	sand	water	2	FALSE
2C3RB1	2C3RB1	3	autumn	rocks	sediment	1	FALSE
2C3RB2	2C3RB2	3	autumn	rocks	sediment	2	FALSE
2C3RB3	2C3RB3	3	autumn	rocks	sediment	3	FALSE
2C3RW1	2C3RW1	3	autumn	rocks	water	1	FALSE
2C3RW3	2C3RW3	3	autumn	rocks	water	3	FALSE
2C3SB1	2C3SB1	3	autumn	sand	sediment	1	FALSE
2C3SB2	2C3SB2	3	autumn	sand	sediment	2	FALSE
2C3SB3	2C3SB3	3	autumn	sand	sediment	3	FALSE
2C3SW3	2C3SW3	3	autumn	sand	water	3	FALSE
2C4RB2	2C4RB2	4	autumn	rocks	sediment	2	FALSE
2C4RB3	2C4RB3	4	autumn	rocks	sediment	3	FALSE
2C4SB1	2C4SB1	4	autumn	sand	sediment	1	FALSE
2C4SB2	2C4SB2	4	autumn	sand	sediment	2	FALSE
2C4SB3	2C4SB3	4	autumn	sand	sediment	3	FALSE
2C4SW1	2C4SW1	4	autumn	sand	water	1	FALSE
2C4SW3	2C4SW3	4	autumn	sand	water	3	FALSE
2C5RB1	2C5RB1	5	autumn	rocks	sediment	1	FALSE
2C5RB2	2C5RB2	5	autumn	rocks	sediment	2	FALSE
2C5RB3	2C5RB3	5	autumn	rocks	sediment	3	FALSE
2C5RW1	2C5RW1	5	autumn	rocks	water	1	FALSE
2C5RW3	2C5RW3	5	autumn	rocks	water	3	FALSE
2C5SB1	2C5SB1	5	autumn	sand	sediment	1	FALSE
2C5SB2	2C5SB2	5	autumn	sand	sediment	2	FALSE
2C5SW1	2C5SW1	5	autumn	sand	water	1	FALSE
2C5SW2	2C5SW2	5	autumn	sand	water	2	FALSE
2C6RB1	2C6RB1	6	autumn	rocks	sediment	1	FALSE
2C6RW1	2C6RW1	6	autumn	rocks	water	1	FALSE
2C6RW3	2C6RW3	6	autumn	rocks	water	3	FALSE
2C6SB1	2C6SB1	6	autumn	sand	sediment	1	FALSE
2C6SB2	2C6SB2	6	autumn	sand	sediment	2	FALSE
2C6SW1	2C6SW1	6	autumn	sand	water	1	FALSE
2C6SW3	2C6SW3	6	autumn	sand	water	3	FALSE
2C7RB1	2C7RB1	7	autumn	rocks	sediment	1	FALSE
2C7RB3	2C7RB3	7	autumn	rocks	sediment	3	FALSE
2C7RW1	2C7RW1	7	autumn	rocks	water	1	FALSE
2C7RW2	2C7RW2	7	autumn	rocks	water	2	FALSE
2C7SB1	2C7SB1	7	autumn	sand	sediment	1	FALSE
2C7SB2	2C7SB2	7	autumn	sand	sediment	2	FALSE
2C7SW1	2C7SW1	7	autumn	sand	water	1	FALSE
2C7SW2	2C7SW2	7	autumn	sand	water	2	FALSE
2C8EB1	2C8EB1	8	autumn	eelgrass	sediment	1	FALSE
2C8EB2	2C8EB2	8	autumn	eelgrass	sediment	2	FALSE
2C8EW1	2C8EW1	8	autumn	eelgrass	water	1	FALSE
2C8EW3	2C8EW3	8	autumn	eelgrass	water	3	FALSE
2C8RB1	2C8RB1	8	autumn	rocks	sediment	1	FALSE
2C8RW1	2C8RW1	8	autumn	rocks	water	1	FALSE
2C8SB1	2C8SB1	8	autumn	sand	sediment	1	FALSE
2C9EB1	2C9EB1	9	autumn	eelgrass	sediment	1	FALSE
2C9EW1	2C9EW1	9	autumn	eelgrass	water	1	FALSE
2C9RB1	2C9RB1	9	autumn	rocks	sediment	1	FALSE
2C9RW1	2C9RW1	9	autumn	rocks	water	1	FALSE
2C9SB1	2C9SB1	9	autumn	sand	sediment	1	FALSE
2C9SW1	2C9SW1	9	autumn	sand	water	1	FALSE
C10EB1	C10EB1	10	spring	eelgrass	sediment	1	FALSE
C10EB2	C10EB2	10	spring	eelgrass	sediment	2	FALSE
C10EB3	C10EB3	10	spring	eelgrass	sediment	3	FALSE
C10EW2	C10EW2	10	spring	eelgrass	water	2	FALSE
C10RB2	C10RB2	10	spring	rocks	sediment	2	FALSE
C10RW2	C10RW2	10	spring	rocks	water	2	FALSE
C10SB2	C10SB2	10	spring	sand	sediment	2	FALSE
C10SW1	C10SW1	10	spring	sand	water	1	FALSE
C10SW2	C10SW2	10	spring	sand	water	2	FALSE
C10SW3	C10SW3	10	spring	sand	water	3	FALSE
C11RB1	C11RB1	11	spring	rocks	sediment	1	FALSE
C11RB2	C11RB2	11	spring	rocks	sediment	2	FALSE
C11RW1	C11RW1	11	spring	rocks	water	1	FALSE
C11RW2	C11RW2	11	spring	rocks	water	2	FALSE
C11RW3	C11RW3	11	spring	rocks	water	3	FALSE
C11SB2	C11SB2	11	spring	sand	sediment	2	FALSE
C11SB3	C11SB3	11	spring	sand	sediment	3	FALSE
C11SW3	C11SW3	11	spring	sand	water	3	FALSE
C12RB1	C12RB1	12	spring	rocks	sediment	1	FALSE
C12RB2	C12RB2	12	spring	rocks	sediment	2	FALSE
C12RW1	C12RW1	12	spring	rocks	water	1	FALSE
C12RW2	C12RW2	12	spring	rocks	water	2	FALSE
C12SB1	C12SB1	12	spring	sand	sediment	1	FALSE
C12SB2	C12SB2	12	spring	sand	sediment	2	FALSE
C12SW3	C12SW3	12	spring	sand	water	3	FALSE
C13RB1	C13RB1	13	spring	rocks	sediment	1	FALSE
C13RB2	C13RB2	13	spring	rocks	sediment	2	FALSE
C13RB3	C13RB3	13	spring	rocks	sediment	3	FALSE
C13RW1	C13RW1	13	spring	rocks	water	1	FALSE
C13RW2	C13RW2	13	spring	rocks	water	2	FALSE
C13RW3	C13RW3	13	spring	rocks	water	3	FALSE
C13SB3	C13SB3	13	spring	sand	sediment	3	FALSE
C13SW2	C13SW2	13	spring	sand	water	2	FALSE
C13SW3	C13SW3	13	spring	sand	water	3	FALSE
C14RB2	C14RB2	14	spring	rocks	sediment	2	FALSE
C14RW2	C14RW2	14	spring	rocks	water	2	FALSE
C14SB2	C14SB2	14	spring	sand	sediment	2	FALSE
C14SB3	C14SB3	14	spring	sand	sediment	3	FALSE
C14SW2	C14SW2	14	spring	sand	water	2	FALSE
C15RB2	C15RB2	15	spring	rocks	sediment	2	FALSE
C15RW1	C15RW1	15	spring	rocks	water	1	FALSE
C15SB3	C15SB3	15	spring	sand	sediment	3	FALSE
C16EB2	C16EB2	16	spring	eelgrass	sediment	2	FALSE
C16EB3	C16EB3	16	spring	eelgrass	sediment	3	FALSE
C16EW3	C16EW3	16	spring	eelgrass	water	3	FALSE
C16RB1	C16RB1	16	spring	rocks	sediment	1	FALSE
C16RB2	C16RB2	16	spring	rocks	sediment	2	FALSE
C16RW1	C16RW1	16	spring	rocks	water	1	FALSE
C16RW2	C16RW2	16	spring	rocks	water	2	FALSE
C16SB2	C16SB2	16	spring	sand	sediment	2	FALSE
C16SW1	C16SW1	16	spring	sand	water	1	FALSE
C17EB1	C17EB1	17	spring	eelgrass	sediment	1	FALSE
C17EB2	C17EB2	17	spring	eelgrass	sediment	2	FALSE
C17RB2	C17RB2	17	spring	rocks	sediment	2	FALSE
C17RW2	C17RW2	17	spring	rocks	water	2	FALSE
C17RW3	C17RW3	17	spring	rocks	water	3	FALSE
C17SB2	C17SB2	17	spring	sand	sediment	2	FALSE
C17SW1	C17SW1	17	spring	sand	water	1	FALSE
C17SW2	C17SW2	17	spring	sand	water	2	FALSE
C18RB1	C18RB1	18	spring	rocks	sediment	1	FALSE
C18RB2	C18RB2	18	spring	rocks	sediment	2	FALSE
C18RB3	C18RB3	18	spring	rocks	sediment	3	FALSE
C18RW2	C18RW2	18	spring	rocks	water	2	FALSE
C18SB1	C18SB1	18	spring	sand	sediment	1	FALSE
C18SW2	C18SW2	18	spring	sand	water	2	FALSE
C19SB2	C19SB2	19	spring	sand	sediment	2	FALSE
C19SB3	C19SB3	19	spring	sand	sediment	3	FALSE
C19SW2	C19SW2	19	spring	sand	water	2	FALSE
C1RB1	C1RB1	1	spring	rocks	sediment	1	FALSE
C1RB3	C1RB3	1	spring	rocks	sediment	3	FALSE
C1SB1	C1SB1	1	spring	sand	sediment	1	FALSE
C1SB3	C1SB3	1	spring	sand	sediment	3	FALSE
C1SW1	C1SW1	1	spring	sand	water	1	FALSE
C20EB1	C20EB1	20	spring	eelgrass	sediment	1	FALSE
C20EB2	C20EB2	20	spring	eelgrass	sediment	2	FALSE
C20EB3	C20EB3	20	spring	eelgrass	sediment	3	FALSE
C20EW1	C20EW1	20	spring	eelgrass	water	1	FALSE
C20EW2	C20EW2	20	spring	eelgrass	water	2	FALSE
C20EW3	C20EW3	20	spring	eelgrass	water	3	FALSE
C20RB1	C20RB1	20	spring	rocks	sediment	1	FALSE
C20RB2	C20RB2	20	spring	rocks	sediment	2	FALSE
C20RW1	C20RW1	20	spring	rocks	water	1	FALSE
C20RW3	C20RW3	20	spring	rocks	water	3	FALSE
C20SW1	C20SW1	20	spring	sand	water	1	FALSE
C21EW2	C21EW2	21	spring	eelgrass	water	2	FALSE
C21RB1	C21RB1	21	spring	rocks	sediment	1	FALSE
C21RW1	C21RW1	21	spring	rocks	water	1	FALSE
C21RW2	C21RW2	21	spring	rocks	water	2	FALSE
C21RW3	C21RW3	21	spring	rocks	water	3	FALSE
C21SB2	C21SB2	21	spring	sand	sediment	2	FALSE
C21SW1	C21SW1	21	spring	sand	water	1	FALSE
C23RB3	C23RB3	23	spring	rocks	sediment	3	FALSE
C23RW1	C23RW1	23	spring	rocks	water	1	FALSE
C23RW2	C23RW2	23	spring	rocks	water	2	FALSE
C23SB1	C23SB1	23	spring	sand	sediment	1	FALSE
C23SB3	C23SB3	23	spring	sand	sediment	3	FALSE
C23SW2	C23SW2	23	spring	sand	water	2	FALSE
C24EB1	C24EB1	24	spring	eelgrass	sediment	1	FALSE
C24EW1	C24EW1	24	spring	eelgrass	water	1	FALSE
C24RW1	C24RW1	24	spring	rocks	water	1	FALSE
C24SW2	C24SW2	24	spring	sand	water	2	FALSE
C25EB1	C25EB1	25	spring	eelgrass	sediment	1	FALSE
C25EB2	C25EB2	25	spring	eelgrass	sediment	2	FALSE
C25EB3	C25EB3	25	spring	eelgrass	sediment	3	FALSE
C25EW1	C25EW1	25	spring	eelgrass	water	1	FALSE
C25RB1	C25RB1	25	spring	rocks	sediment	1	FALSE
C25RB2	C25RB2	25	spring	rocks	sediment	2	FALSE
C25RB3	C25RB3	25	spring	rocks	sediment	3	FALSE
C25RW1	C25RW1	25	spring	rocks	water	1	FALSE
C25SB1	C25SB1	25	spring	sand	sediment	1	FALSE
C25SB2	C25SB2	25	spring	sand	sediment	2	FALSE
C25SB3	C25SB3	25	spring	sand	sediment	3	FALSE
C25SW1	C25SW1	25	spring	sand	water	1	FALSE
C26EB1	C26EB1	26	spring	eelgrass	sediment	1	FALSE
C26EB2	C26EB2	26	spring	eelgrass	sediment	2	FALSE
C26EW1	C26EW1	26	spring	eelgrass	water	1	FALSE
C26EW2	C26EW2	26	spring	eelgrass	water	2	FALSE
C26EW3	C26EW3	26	spring	eelgrass	water	3	FALSE
C26RB1	C26RB1	26	spring	rocks	sediment	1	FALSE
C26RW1	C26RW1	26	spring	rocks	water	1	FALSE
C26RW2	C26RW2	26	spring	rocks	water	2	FALSE
C26SB1	C26SB1	26	spring	sand	sediment	1	FALSE
C26SW1	C26SW1	26	spring	sand	water	1	FALSE
C27EB1	C27EB1	27	spring	eelgrass	sediment	1	FALSE
C27EB2	C27EB2	27	spring	eelgrass	sediment	2	FALSE
C27EW2	C27EW2	27	spring	eelgrass	water	2	FALSE
C27RB2	C27RB2	27	spring	rocks	sediment	2	FALSE
C27RB3	C27RB3	27	spring	rocks	sediment	3	FALSE
C27RW1	C27RW1	27	spring	rocks	water	1	FALSE
C27RW2	C27RW2	27	spring	rocks	water	2	FALSE
C27SB1	C27SB1	27	spring	sand	sediment	1	FALSE
C27SB2	C27SB2	27	spring	sand	sediment	2	FALSE
C27SW2	C27SW2	27	spring	sand	water	2	FALSE
C28EB1	C28EB1	28	spring	eelgrass	sediment	1	FALSE
C28EB3	C28EB3	28	spring	eelgrass	sediment	3	FALSE
C28EW1	C28EW1	28	spring	eelgrass	water	1	FALSE
C28EW2	C28EW2	28	spring	eelgrass	water	2	FALSE
C28RB1	C28RB1	28	spring	rocks	sediment	1	FALSE
C28RB2	C28RB2	28	spring	rocks	sediment	2	FALSE
C28RW1	C28RW1	28	spring	rocks	water	1	FALSE
C28RW2	C28RW2	28	spring	rocks	water	2	FALSE
C28RW3	C28RW3	28	spring	rocks	water	3	FALSE
C28SB1	C28SB1	28	spring	sand	sediment	1	FALSE
C28SW1	C28SW1	28	spring	sand	water	1	FALSE
C29EB1	C29EB1	29	spring	eelgrass	sediment	1	FALSE
C29RB1	C29RB1	29	spring	rocks	sediment	1	FALSE
C29SB1	C29SB1	29	spring	sand	sediment	1	FALSE
C29SW1	C29SW1	29	spring	sand	water	1	FALSE
C29SW2	C29SW2	29	spring	sand	water	2	FALSE
C29SW3	C29SW3	29	spring	sand	water	3	FALSE
C2RB1	C2RB1	2	spring	rocks	sediment	1	FALSE
