	cube_d14N_15N	d12C_13C	log_N	log_C	log_CN_ratio	log_NP_ratio	Dry_matter	Grain_size	Water_content	log_Organic_content	log_Inorganic_content	log_TP	Organic_content	Inorganic_content	C	N	log_PO4	log_Si	log_Chlorophyll	Salinity	Temperature	log_NO2	log_NO3	log_NH3	log_DN	Time	Latitude	Longitude	NO2	NO3	NH3	DN	PO4	Si	season	habitat	sal_group	cluster
autumn_33_rocks	18453.09708	-25.83488951	3.820401549	6.518623125	2.852372255	4.177189577	0.842135641	3	0.29910606	-5.049621099	-5.657296293	-0.356788028	0.006464842	0.003606415	689.52162	46.57225374	-1.63475572	2.302585093	1.389123708	7.642738844	13.25653839	-2.079441542	1.657275242	-0.891598119	1.754403683	15/10/2019	55.02243003	14.90372037	0.125	5.245	0.41	5.78	0.195	10	autumn	rocks	1	33
autumn_33_sand	13559.11237	-24.80574672	3.798882229	6.405579667	2.760848117	4.211496924	0.795427456	2	0.359883333	-5.190375256	-6.884700743	-0.412614695	0.005574246	0.001023826	605.2514655	44.90316803	-1.742969305	2.334568139	NA	7.713237434	12.58662796	-3.101092789	0.340037303	-0.229413164	0.808705521	15/10/2019	55.02055438	14.91194958	0.045	1.405	0.795	2.245	0.175	10.325	autumn	sand	1	33
autumn_4_rocks	207.9832499	-24.30632413	4.716414943	5.386287209	0.824022946	6.506247873	0.824864569	2	0.320564293	-5.422464412	-5.303856604	-1.789832929	0.004421563	0.005013949	218.7147167	115.5042522	1.238374231	1.844510035	0.413261272	33.40662686	15.42676163	0.415415439	3.054001182	2.099856726	3.430108725	25/09/2019	57.1265072	8.6208932	1.515	21.2	8.165	30.88	3.45	6.325	autumn	rocks	3	4
autumn_4_sand	413.4032325	-25.58655999	4.079296479	5.166484428	1.241338629	5.50234248	0.800474614	2	0.365882222	-5.30712279	-5.204669011	-1.423046001	0.00498189	0.005517771	175.7930492	59.63476327	-2.813410717	0.751416089	-0.176555295	33.62559783	14.64233112	-3.506557897	-0.713349888	-2.995732274	-0.562118918	25/09/2019	57.1264403	8.6151892	0.03	0.49	0.05	0.57	0.06	2.12	autumn	sand	3	4
autumn_5_rocks	5441.486574	-30.91341435	5.657700901	6.063960514	0.560410293	7.197159048	0.822111811	2	0.516246	-5.149093414	-5.053453038	-1.539458147	0.005821344	0.006450303	436.4233836	294.6756035	-0.470003629	1.459777138	-0.334899728	33.36212882	14.11095619	-0.527632742	1.291983682	2.308070023	2.659210036	26/09/2019	57.14392	10.42871	0.59	3.64	10.055	14.285	0.625	4.305	autumn	rocks	3	5
autumn_5_sand	6681.329119	-27.02197085	6.39719839	5.992148236	-0.250899474	7.179786636	0.83066902	2	0.315220317	-5.038637729	-4.898230034	-0.782588246	0.006490103	0.00746674	402.2266551	604.3947202	-1.514127733	1.373715579	1.31963708	33.29591408	13.93986511	-2.253794929	-0.122167634	0.431782416	0.928219303	26/09/2019	57.5921291	9.94725756	0.105	0.885	1.54	2.53	0.22	3.95	autumn	sand	3	5
autumn_6_rocks	16065.08695	-25.43798713	5.496517331	7.026341768	1.683975117	6.997069	0.829992025	2	0.31296873	-5.169218327	-5.133211427	-1.500551669	0.005813889	0.006344929	1150.998683	257.0524009	-0.928869514	2.296567021	0.822041209	24.55660816	9.206731796	-1.897119985	1.304270526	0.482426149	1.696532619	29/10/2019	57.338797	10.5260316	0.15	3.685	1.62	5.455	0.395	9.94	autumn	rocks	2	6
autumn_6_sand	6048.486086	-22.75479375	5.794238787	6.466056668	0.82596856	6.674067169	0.826177361	2	0.309062573	-5.536529787	-5.745614707	-0.879828382	0.003940195	0.00320279	643.5112267	330.1685208	-1.30933332	1.340250423	0.560322815	25.10060756	9.390329361	-2.407945609	0.497740384	-1.771956842	0.644482009	29/10/2019	57.13986	10.42954	0.09	1.645	0.17	1.905	0.27	3.82	autumn	sand	3	6
autumn_7_rocks	695.2956839	-25.84911658	6.056401699	6.216520748	0.314269729	7.243376095	0.844042574	2	0.289978586	-5.597590427	-5.483695971	-1.186974397	0.003723584	0.004167309	510.4636935	430.6800564	-1.801809805	1.412205743	-0.212926908	25.79792948	10.57108021	-3.218875825	-0.099820335	-2.995732274	-0.005012542	28/10/2019	57.3214171	11.1282307	0.04	0.905	0.05	0.995	0.165	4.105	autumn	rocks	3	7
autumn_7_sand	14.03351988	-22.7087564	6.466702264	6.360469438	0.047917854	6.961417092	0.829464487	2	0.308514361	-5.525346964	-5.575992173	-0.494714829	0.0039851	0.003789823	580.1813376	644.0767281	-1.742969305	1.396244692	0.835113803	26.11983898	11.07722187	-5.298317367	-0.486133011	-2.995732274	-0.407968238	28/10/2019	57.32297997	11.13292171	0.005	0.615	0.05	0.665	0.175	4.04	autumn	sand	3	7
autumn_8_eelgrass	7370.57726	-16.65060684	8.060235442	9.534403254	1.628318491	8.028036657	0.533494297	1	0.668675151	-3.045702057	-3.890667437	0.032198785	0.048037316	0.022975992	13884.94676	3469.213621	-0.025317808	2.726871955	0.985552448	25.91790358	17.43560982	-1.491654877	0.144100344	1.207466694	1.552867561	03/09/2019	57.05959471	9.87131989	0.225	1.155	3.345	4.725	0.975	15.285	autumn	eelgrass	3	8
autumn_8_rocks	2702.872277	-25.66679024	7.537051397	8.581456496	1.198555779	7.761375654	0.691953655	1.333333333	0.497973232	-3.77572049	-4.368861087	-0.224324258	0.022920964	0.012862895	5334.023448	1890.470264	1.06986982	3.444895237	2.047180702	25.6496519	18.14898682	-1.171182982	0.56815069	1.791759469	2.088772869	03/09/2019	57.0550982	9.8705184	0.31	1.765	6	8.075	2.915	31.34	autumn	rocks	3	8
autumn_8_sand	281.4075615	-18.82683306	7.865304217	8.944255567	1.23310203	7.817172825	0.631469307	1	0.569653788	-3.268161648	-3.93762163	0.048131392	0.038090836	0.020058663	7667.985176	2605.384298	0.034401427	2.683074215	0.835113803	25.92457883	17.65885353	-1.742969305	-0.328504067	1.01523068	1.296096093	03/09/2019	57.01030036	9.63479997	0.175	0.72	2.76	3.655	1.035	14.63	autumn	sand	3	8
autumn_9_eelgrass	2145.354636	-19.7439252	6.746851414	8.063821364	1.47112063	7.548753655	0.760225275	1.666666667	0.434741212	-4.394180381	-5.301053142	-0.801902242	0.012571174	0.004998512	3298.960756	869.139157	0.968883182	3.104586678	2.11525654	26.54163277	17.74905586	-2.353878387	-0.994252273	1.431506704	1.53686722	04/09/2019	56.71051209	9.20700727	0.095	0.37	4.185	4.65	2.635	22.3	autumn	eelgrass	3	9
autumn_9_rocks	6289.609479	-20.39777424	6.650352854	7.933037	1.436834827	7.588000938	0.72229709	1	0.480271852	-4.483259243	-5.160017936	-0.937648084	0.011309757	0.005956221	2799.904757	778.3320671	0.920282753	3.219675505	1.79698783	26.46904128	17.84535027	-1.328025453	1.0595249	1.366091654	1.95586048	04/09/2019	56.706257	9.2016147	0.265	2.885	3.92	7.07	2.51	25.02	autumn	rocks	3	9
autumn_9_sand	14673.198	NA	7.074469232	8.756798244	1.836479692	7.800981432	0.725930022	1	0.492182424	-3.879161971	-3.591091173	-0.7265122	0.028377946	0.048591994	13189.43297	1574.065425	1.061256502	3.042854381	2.346889069	26.55463572	17.83140945	-2.900422094	-1.406497068	1.54329811	1.605429891	04/09/2019	56.71280751	9.2091164	0.055	0.245	4.68	4.98	2.89	20.965	autumn	sand	3	9
spring_1_rocks	35302.95797	-23.70605762	3.017290109	5.721381702	2.858242273	4.96968536	0.84145789	2	0.278470085	-5.43367975	-5.602398935	-1.952395251	0.00437346	0.003701665	332.5624615	22.62491983	-0.510825624	1.306980554	1.096477529	28.75403949	20.05633736	-0.693147181	1.764730797	1.436274293	2.355651814	18/06/2019	55.4464839	8.4066144	0.5	5.84	4.205	10.545	0.6	3.695	spring	rocks	3	1
spring_1_sand	37293.70265	-22.48036917	4.043818279	6.312581596	2.422913997	6.434083638	0.796840101	1	0.351740476	-4.945865941	-4.931530595	-2.390265359	0.007116681	0.007266801	553.1871512	57.37149007	-1.347073648	1.0595249	0.65795055	30.35023057	18.27405739	-2.162823151	-0.015113638	1.062985111	1.385043579	18/06/2019	55.46983904	8.31535033	0.115	0.985	2.895	3.995	0.26	2.885	spring	sand	3	1
spring_10_eelgrass	41559.37307	-20.53354848	4.974471708	7.192044785	2.371723757	6.681029084	0.779774057	2	0.40538254	-5.122086584	-5.695528373	-1.706557376	0.005972192	0.003362303	1335.179345	145.2144918	-2.465104022	-2.079441542	-0.249952396	29.17519075	12.18181324	-3.101092789	-1.272965676	-0.168418652	0.157003749	15/05/2019	56.55391126	8.61017776	0.045	0.28	0.845	1.17	0.085	0.125	spring	eelgrass	3	10
spring_10_rocks	39970.906	-18.13628542	5.448438014	7.598007412	2.303720077	6.711951529	0.783573461	1	0.400271111	-4.296830371	-4.34692943	-1.263513515	0.013783522	0.014120963	2024.939443	232.7017908	-2.079441542	-0.820980552	0.265234084	29.35614481	13.30607605	-2.407945609	-0.430782916	0.636576829	0.966983846	15/05/2019	56.55032935	8.61454023	0.09	0.65	1.89	2.63	0.125	0.44	spring	rocks	3	10
spring_10_sand	44037.92264	-19.34553221	5.105230398	7.129789144	2.178709426	6.655535646	0.813031417	2	0.357060606	-5.08677593	-5.956510489	-1.550305248	0.006181375	0.002595901	1253.983001	165.6441525	-2.659260037	-2.040220829	0.293533161	29.02708831	13.50002003	-3.912023005	-2.040220829	-0.25489225	-0.077961541	15/05/2019	56.55925617	8.61504498	0.02	0.13	0.775	0.925	0.07	0.13	spring	sand	3	10
spring_11_rocks	32277.71967	-21.03655703	5.808432573	7.99042305	2.336141157	6.841417781	0.747991755	2	0.444540645	-4.100326163	-3.72047089	-1.032985208	0.016772311	0.032698955	2986.074073	334.1750304	-0.673344553	1.124929597	0.832489481	22.83295137	13.0819788	-3.218875825	-0.693147181	0.086177696	0.488580015	13/05/2019	56.8039704	10.282349	0.04	0.5	1.09	1.63	0.51	3.08	spring	rocks	2	11
spring_11_sand	28725.70167	-21.0615623	4.541793836	6.682287045	2.294643889	5.579891516	0.830559148	2	0.292825362	-5.463341241	-6.098507782	-1.038097681	0.004241742	0.002268645	800.647404	94.15608005	-2.002480501	1.160020917	0.270958329	22.83295137	13.0819788	-4.605170186	-2.659260037	-0.867500568	-0.693147181	13/05/2019	56.79719521	10.28607025	0.01	0.07	0.42	0.5	0.135	3.19	spring	sand	2	11
spring_12_rocks	43517.57971	-20.11475014	5.457966317	7.565198035	2.261382397	6.466157501	0.79173796	1	0.390228889	-4.628187626	-5.409077578	-1.008191183	0.010393194	0.005711526	2014.336409	245.0020854	-0.415515444	2.349945664	0.008815507	21.25637211	NA	-2.590267165	1.01523068	0.466873736	1.488399584	02/05/2019	56.60978684	10.30299737	0.075	2.76	1.595	4.43	0.66	10.485	spring	rocks	2	12
spring_12_sand	45695.87599	-20.30129033	6.268967639	8.317280057	2.202463098	6.872288517	0.708221862	1	0.495964444	-4.258564757	-5.835556324	-0.603320878	0.014166331	0.002950958	4099.701047	528.654653	-0.820980552	3.091951131	0.551773113	19.33911719	NA	-1.801809805	2.116255515	1.098612289	2.439298916	02/05/2019	56.60705356	10.29712065	0.165	8.3	3	11.465	0.44	22.02	spring	sand	2	12
spring_13_rocks	34092.41424	-20.16577663	4.607294128	6.590334425	2.137190977	5.974077483	0.823621445	2	0.328762222	-4.575203684	-3.884258856	-1.366783355	0.01060134	0.021172108	750.4717854	104.635872	-5.298317367	1.529311868	-0.887686562	12.81781925	NA	-5.298317367	0.524728529	-0.287682072	0.891998039	01/05/2019	56.44552427	10.95986495	0.005	1.69	0.75	2.44	0.005	4.615	spring	rocks	1	13
spring_13_sand	35162.30636	-21.4971289	4.912593984	7.042380501	2.283937197	5.969591928	0.785632667	2	0.399882222	-4.50746511	-4.582404457	-1.056997944	0.011038142	0.010474304	1149.212641	136.5697558	-5.298317367	1.207466694	-2.664502598	18.0839327	NA	-5.298317367	-0.294371061	-1.366491734	-0.005012542	01/05/2019	56.44816462	10.95508786	0.005	0.745	0.255	0.995	0.005	3.345	spring	sand	2	13
spring_14_rocks	28324.67737	-23.22078909	2.580682939	5.992248264	3.565716005	3.697616842	0.816258269	3	0.351484445	-4.866498789	-4.518117527	-1.116933903	0.007712846	0.010991899	409.2498637	13.74884176	-3.218875825	0.157003749	0.197550866	21.70366803	11.44521809	-4.199705078	-0.776528789	-0.378336441	0.148420005	27/05/2019	56.1388617	10.219473	0.015	0.46	0.685	1.16	0.04	1.17	spring	rocks	2	14
spring_14_sand	31336.79539	-20.82095932	4.22389461	6.568218722	2.498474791	4.482102168	0.794638505	2	0.382213333	-4.829777198	-4.79494444	-0.258207558	0.007991183	0.008304327	712.8003656	68.30951816	-5.298317367	1.208960346	-0.283953819	19.25923994	12.69237804	-5.298317367	-1.139434283	-0.46203546	-0.061875404	27/05/2019	56.12285239	10.22345435	0.005	0.32	0.63	0.94	0.005	3.35	spring	sand	2	14
spring_15_rocks	45355.5548	-23.81876186	5.026194927	7.567546911	2.695502664	5.693341235	0.851572733	2.666666667	0.278868889	-4.410822632	-4.889280843	-0.667146308	0.012322965	0.007864305	2080.473582	167.053924	-0.438504962	3.196016531	-0.705352884	18.19393525	13.46554661	0.044016885	3.544720358	1.617406082	3.706596575	20/05/2019	55.7030775	9.6995034	1.045	34.63	5.04	40.715	0.645	24.435	spring	rocks	2	15
spring_15_sand	38073.42461	-18.26843772	5.414885169	7.579464694	2.318730205	6.680645794	0.808426135	2	0.362707611	-4.980078504	-6.1293681	-1.265760625	0.006883481	0.002184738	1962.131979	225.2394538	-2.813410717	0.54522705	0.078996629	18.18218301	12.70506668	-5.298317367	-0.083381609	-0.261364764	0.506817602	20/05/2019	55.70038092	9.710981	0.005	0.92	0.77	1.66	0.06	1.725	spring	sand	2	15
spring_16_eelgrass	35517.40873	-17.40805061	5.316065469	7.529751881	2.367837091	5.955141955	0.768703488	1	0.426410617	-4.907676587	-6.03421139	-0.639076486	0.007444363	0.002401943	1893.725999	205.1929234	-3.101092789	1.312378678	0.489529696	16.94203769	13.71061802	-5.298317367	-2.407945609	-0.928869514	-0.755022584	23/05/2019	55.5021309	10.61310246	0.005	0.09	0.395	0.47	0.045	3.715	spring	eelgrass	2	16
spring_16_rocks	35592.73133	-17.65215926	5.521841721	7.626389142	2.258698101	6.063592012	0.781461625	1	0.449951399	-4.780435536	-5.96021047	-0.541750291	0.008477431	0.002586488	2101.140879	254.5753188	-2.590267165	1.371180723	0.585675239	16.98427279	14.59406948	-5.298317367	-1.63475572	-0.527632742	-0.235722334	23/05/2019	55.48628704	10.59840165	0.005	0.195	0.59	0.79	0.075	3.94	spring	rocks	2	16
spring_16_sand	30863.12164	-18.80483189	5.514589406	7.625545087	2.26510636	6.48394175	0.784215782	2	0.404875	-5.012750891	-6.008899767	-0.969352343	0.006656891	0.002459872	2052.549286	248.378377	-1.406497068	1.271164054	0.344660143	17.26333706	15.23068142	-5.298317367	-1.63475572	-0.703197516	-0.378336441	23/05/2019	55.49418168	10.61822206	0.005	0.195	0.495	0.685	0.245	3.565	spring	sand	2	16
spring_17_eelgrass	37898.02932	-18.86304494	5.519106516	7.64286374	2.277907904	6.790046863	0.777414182	2	0.411899495	-4.859424839	-7.089134811	-1.270940346	0.00789274	0.000897631	2135.817049	250.5924444	-1.832581464	-1.123930097	0.68847786	16.28787947	11.91833305	-5.298317367	-1.560647748	-0.68319685	-0.328504067	22/05/2019	55.48243617	9.71511814	0.005	0.21	0.505	0.72	0.16	0.325	spring	eelgrass	2	17
spring_17_rocks	33598.38913	-19.64867505	5.056309863	7.740120638	2.837961455	6.105613928	0.855646399	3	0.276320318	-4.483852554	-6.101146918	-1.049304065	0.011611341	0.002497875	2379.828215	162.5654616	-1.931021537	-0.536143432	0.630430221	16.3566822	11.97326851	-3.506557897	-1.203972804	-0.099820335	0.21107097	22/05/2019	55.48988732	9.72807937	0.03	0.3	0.905	1.235	0.145	0.585	spring	rocks	2	17
spring_17_sand	30036.63133	-16.83519096	5.524457259	7.63812564	2.267819061	6.951916476	0.819395143	2	0.351579017	-4.823701228	-6.308789014	-1.427459217	0.008040575	0.001843559	2080.573566	251.4804809	-2.040220829	-1.15518264	0.614364393	16.08510363	12.16158581	-5.298317367	0.131028262	-0.446287103	0.573800423	22/05/2019	55.4722045	9.72438389	0.005	1.14	0.64	1.775	0.13	0.315	spring	sand	2	17
spring_18_rocks	31753.55694	-20.76759875	4.332735136	6.67959973	2.501015273	5.533938407	0.829159184	2.333333333	0.323093254	-4.945840745	-5.714022322	-1.201203271	0.007147508	0.003454978	798.8924515	76.37426231	-2.040220829	1.534714366	0.665719228	15.54079582	17.09177399	-5.298317367	-1.108662625	-0.85566611	-0.274436846	21/05/2019	55.11464713	9.50277209	0.005	0.33	0.425	0.76	0.13	4.64	spring	rocks	2	18
spring_18_sand	35267.41557	-28.41032483	7.062551099	9.316521764	2.408121345	7.301702437	0.623123281	1	0.577973947	-3.133407661	-4.408033795	-0.239151338	0.043815569	0.015287382	11139.88903	1168.595863	-0.954511945	2.638342789	0.577306849	14.99475114	16.61330795	-2.525728644	0.441475546	-0.274436846	0.873383231	21/05/2019	55.11825552	9.4882245	0.08	1.555	0.76	2.395	0.385	13.99	spring	sand	1	18
spring_19_eelgrass	32961.50889	-21.29639924	5.217428488	7.503318691	2.440040884	6.113803073	0.811347525	2	0.354171111	-4.497910434	-5.42679782	-0.896374585	0.011280948	0.0049791	1818.118719	184.5707719	-1.328025453	-2.995732274	0.650214801	15.34406208	13.51083565	-5.298317367	-1.714798428	-1.237874356	-0.755022584	28/05/2019	55.04167237	10.25488398	0.005	0.18	0.29	0.47	0.265	0.05	spring	eelgrass	2	19
spring_19_rocks	31581.51466	-22.22400411	3.409456821	6.102536802	2.84723066	3.779299824	0.869732742	3	0.232221465	-4.572544867	-4.022007346	-0.369843003	0.010388358	0.021478128	447.4449851	33.30430656	-2.302585093	-2.162823151	0.272099257	15.37561768	13.98300552	-3.506557897	-0.809680997	-0.776528789	-0.06720875	28/05/2019	55.04015914	10.25435219	0.03	0.445	0.46	0.935	0.1	0.115	spring	rocks	2	19
spring_19_sand	27436.65161	-20.00568967	4.760928101	7.041701572	2.434924151	5.633360504	0.805558705	2	0.370047436	-5.057128423	-5.756769811	-0.872432403	0.006370165	0.003161924	1143.677015	116.9828763	-1.078809661	-2.995732274	0.069267303	15.54664499	12.92238522	-4.199705078	-2.302585093	0.152721087	0.246860078	28/05/2019	55.06489033	10.21874036	0.015	0.1	1.165	1.28	0.34	0.05	spring	sand	2	19
spring_20_eelgrass	27417.51892	-18.90037423	5.187613772	7.756819393	2.723356302	5.698725384	0.795954795	2	0.381277778	-4.636107006	-5.766165716	-0.511111613	0.009711916	0.003166658	2370.682539	181.4982178	-1.864330162	0.024692613	-0.607313483	11.89946707	13.07558823	-4.605170186	-1.660731207	-1.366491734	-0.78745786	29/05/2019	54.8791064	11.01524311	0.01	0.19	0.255	0.455	0.155	1.025	spring	eelgrass	1	20
spring_20_rocks	28475.23614	-21.73323129	3.074952129	6.704536463	NA	3.831458351	0.854855309	3	0.289386576	-4.820381208	-4.639135452	-0.756506222	0.00860637	0.014691792	843.4767326	27.00528182	-1.255266099	-1.049822124	0.922146285	10.87760922	16.84225082	-4.199705078	-1.290984181	-2.995732274	-1.078809661	29/05/2019	54.8803404	11.0176403	0.015	0.275	0.05	0.34	0.285	0.35	spring	rocks	1	20
spring_20_sand	25737.01317	-18.42853481	4.688406023	6.722302812	2.188047468	5.335227699	0.796213104	2	0.369403602	-5.593981333	-6.37677779	-0.646821675	0.003721635	0.001733425	830.7706885	108.7035619	-2.207274913	-0.438504962	-0.445308464	11.53804626	13.54700756	-5.298317367	-1.406497068	-0.625488532	-0.242071561	29/05/2019	54.88502254	11.01350353	0.005	0.245	0.535	0.785	0.11	0.645	spring	sand	1	20
spring_21_eelgrass	23942.57628	-16.79839603	6.238904591	8.778622403	2.693868492	6.586612291	0.697980549	1	0.505301923	-4.129056979	-6.004842509	-0.3477077	0.016527615	0.002554631	6713.805138	531.3638211	-5.298317367	0.364643114	-1.940349284	12.03899007	12.9380064	-4.605170186	-1.801809805	-1.328025453	-0.820980552	30/05/2019	54.91905585	11.49217673	0.01	0.165	0.265	0.44	0.005	1.44	spring	eelgrass	1	21
spring_21_rocks	28111.99001	-21.75685786	4.967659984	7.593397381	2.779888077	5.583594168	0.779716543	1.333333333	0.400875253	-4.6227411	-5.221282948	-0.615934184	0.009964515	0.011504718	2043.716769	173.0525975	-1.03563749	1.423108334	-0.601833567	12.4746108	14.64352894	-3.101092789	-0.204567166	0.262364264	0.770108222	30/05/2019	54.8378707	11.4936118	0.045	0.815	1.3	2.16	0.355	4.15	spring	rocks	1	21
spring_21_sand	23069.12376	-18.07441355	5.721930805	7.96483355	2.397053424	6.694410485	0.784230738	2	0.391541667	-4.884079761	-6.28981018	-0.97247968	0.007580294	0.001861416	2883.962954	306.5993569	-2.659260037	0.843720039	-1.676311221	12.63206979	13.81730556	-5.298317367	-2.353878387	-0.994252273	-0.755022584	30/05/2019	54.84748884	11.47969321	0.005	0.095	0.37	0.47	0.07	2.325	spring	sand	1	21
spring_23_rocks	24522.81918	-20.99680404	4.490582524	6.986055581	2.649623737	5.145506417	0.79585552	2	0.369312424	-4.738359323	-3.609486807	-0.654923892	0.008884294	0.029549124	1117.304084	89.87174823	-0.994252273	1.006131436	1.481769726	8.433276394	17.10715294	-4.605170186	-1.832581464	-2.733368009	-1.448169765	27/06/2019	54.955125	12.4624129	0.01	0.16	0.065	0.235	0.37	2.735	spring	rocks	1	23
spring_23_sand	27711.89571	-23.51764833	3.522854186	6.229518812	2.860815306	4.416022549	0.79114549	2	0.376580159	-5.079109025	-4.886680562	-0.893168364	0.006279109	0.008089944	509.7822478	33.9463123	-1.406497068	2.110819077	0.220612697	8.7281692	13.1826601	-2.733368009	-1.609437912	-2.525728644	-1.064210862	27/06/2019	54.95019802	12.47570698	0.065	0.2	0.08	0.345	0.245	8.255	spring	sand	1	23
spring_24_eelgrass	29705.59289	-19.46756372	5.980079554	8.282585516	2.456656641	6.769580418	0.728721671	1	0.470310806	-4.54877921	-6.323660144	-0.789500864	0.010584725	0.001811829	3963.514195	395.9728746	-0.470003629	2.468523171	1.116305451	9.535089381	23.0759697	-4.199705078	-1.687399454	-2.253794929	-1.187443502	26/06/2019	55.13308773	12.08769028	0.015	0.185	0.105	0.305	0.625	11.805	spring	eelgrass	1	24
spring_24_rocks	30867.33496	-18.82816106	5.7810749	8.105276919	2.478352698	7.024685278	0.728930671	2	0.481010897	-4.610746807	-5.941065484	-1.243610377	0.010201261	0.002914495	3354.550227	325.0141028	0.131028262	3.033028058	2.395966409	9.733554073	28.86234474	-3.101092789	-0.588787165	0.281412459	0.654925968	26/06/2019	55.1701609	12.0908908	0.045	0.555	1.325	1.925	1.14	20.76	spring	rocks	1	24
spring_24_sand	26033.26006	-20.25077521	4.514864274	6.926998143	2.566284549	5.50884183	0.781306794	2	0.406074562	-5.486567719	-6.457151897	-0.993977556	0.004216968	0.001581496	1059.399692	92.29644939	-0.242071561	2.72883274	1.35114812	9.347527988	23.26045227	-4.199705078	-2.590267165	-2.995732274	-1.966112856	26/06/2019	55.135901	12.10739352	0.015	0.075	0.05	0.14	0.785	15.315	spring	sand	1	24
spring_25_eelgrass	33202.96193	-22.53470823	6.537436802	8.684448354	2.301162231	6.867602908	0.721608521	1	0.4757867	-3.67958727	-5.328006422	-0.330166105	0.025695655	0.005304416	5934.394198	699.547877	-1.832581464	1.677096561	-0.476347403	10.81097971	15.56078339	-5.298317367	-1.660731207	-1.832581464	-1.093624747	04/06/2019	55.56489727	12.28239716	0.005	0.19	0.16	0.335	0.16	5.35	spring	eelgrass	1	25
spring_25_rocks	32070.12606	-22.98912919	5.216340558	7.418137935	2.355948058	6.259676157	0.776553337	2	0.402904126	-4.693531554	-5.055853035	-1.0433356	0.009263866	0.006560289	1756.02587	196.9438892	-0.274436846	1.404870747	-0.394248853	11.06717261	15.97712803	-1.864330162	0.227135573	0.841567186	1.316408234	04/06/2019	55.56748637	12.28656134	0.155	1.255	2.32	3.73	0.76	4.075	spring	rocks	1	25
spring_25_sand	24596.23387	-21.05917428	3.680609445	6.225207114	2.698748348	4.706948114	0.780139854	2	0.408208532	-5.875083226	-6.552302586	-1.026338669	0.002816713	0.001440917	505.822547	39.70685766	-1.771956842	1.261297871	-1.252635201	11.03499632	15.905406	-5.298317367	-0.994252273	-2.162823151	-0.713349888	04/06/2019	55.56931596	12.28888679	0.005	0.37	0.115	0.49	0.17	3.53	spring	sand	1	25
spring_26_eelgrass	9918.852488	-20.03859418	4.693562905	6.86416975	2.324757525	6.01085168	0.78510539	2	0.403445289	-5.345934801	-6.317047138	-1.317288776	0.004772492	0.001807098	961.1143791	109.4386561	-1.966112856	1.768149604	-0.663830485	9.755808409	15.062994	-5.298317367	-1.897119985	-2.465104022	-1.427116356	10/06/2019	55.74929873	12.59476462	0.005	0.15	0.085	0.24	0.14	5.86	spring	eelgrass	1	26
spring_26_rocks	6576.717663	-22.50384787	5.153511288	7.032820267	2.033459659	5.52290418	0.863692727	3	0.279321845	-4.788783751	-4.109962322	-0.369392892	0.008330528	0.016765264	1135.812372	180.6668119	-1.63475572	1.584120104	-0.831164761	9.595072972	14.94655704	-3.218875825	-0.46203546	-0.438504962	0.273836666	10/06/2019	55.75903234	12.60278652	0.04	0.63	0.645	1.315	0.195	4.875	spring	rocks	1	26
spring_26_sand	8113.165288	-22.66892139	4.462349287	6.298406425	1.990207818	5.877152124	0.818909776	2	0.340406349	-5.224923915	-5.831960685	-1.414802837	0.005390197	0.002955395	544.6894088	86.79175554	-1.801809805	1.726331664	-0.660927473	9.743237106	15.15858269	-5.298317367	-2.207274913	-2.353878387	-1.660731207	10/06/2019	55.75146986	12.59356584	0.005	0.11	0.095	0.19	0.165	5.62	spring	sand	1	26
spring_27_eelgrass	8048.71032	-23.25322358	5.456185775	7.440712019	2.138676924	5.938024282	0.766711286	1	0.420405674	-4.713269854	-5.872967073	-0.481838507	0.00934075	0.002857063	1810.167834	244.7808483	-1.931021537	1.609437912	-0.508007472	14.09675687	16.66413498	-4.199705078	-1.290984181	-0.967584026	-0.400477567	06/06/2019	56.04229589	12.61937113	0.015	0.275	0.38	0.67	0.145	5	spring	eelgrass	1	27
spring_27_rocks	11855.97653	-24.24033651	4.413887348	7.049348894	2.789612226	5.839639405	0.833426032	2.333333333	0.309868788	-4.177633763	-4.920101559	-1.425752057	0.015864834	0.008172695	1243.787903	85.15286876	-0.903868212	1.235471471	0.30792716	14.69614432	19.20914268	-4.605170186	-1.966112856	0.303801454	0.408792898	06/06/2019	56.0411843	12.6181348	0.01	0.14	1.355	1.505	0.405	3.44	spring	rocks	1	27
spring_27_sand	5607.288466	-22.53877017	3.759128945	6.001340017	2.396361752	5.174209376	0.80774718	2	0.351808333	-5.777827075	-6.251545435	-1.415080431	0.003101861	0.001930183	404.9969798	43.46737167	-2.207274913	1.548625773	-0.566927884	15.65692675	15.92436028	-5.298317367	-0.867500568	-1.537117251	-0.470003629	06/06/2019	56.04450606	12.60919503	0.005	0.42	0.215	0.625	0.11	4.705	spring	sand	2	27
spring_28_eelgrass	18310.99865	-20.54605058	4.486901463	6.715345503	2.38259472	6.074784658	0.82580784	2	0.325513636	-5.617434825	-5.492698825	-1.587883195	0.003652356	0.007952401	845.1236506	89.92314414	-2.207274913	0.58221562	0.343588497	17.92607826	15.70296288	-3.218875825	-1.5847453	-0.186329578	0.072320662	05/06/2019	55.95139329	11.8471504	0.04	0.205	0.83	1.075	0.11	1.79	spring	eelgrass	2	28
